Region,Year,Predicted_Births_LSTM,Grundskola_Fixed_Cost_per_Child,Grundskola_Current_Cost_per_Child,Gymnasieskola_Fixed_Cost_per_Child,Gymnasieskola_Current_Cost_per_Child,Total_Grundskola_Cost,Total_Gymnasieskola_Cost
6,2035,3896.1296,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,2227573868.0450206,1180183417.7548525
7,2035,2067.6663,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,1182167918.0583045,626320408.0045309
8,2035,2172.413,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,1242055815.9567604,658049413.7348697
9,2035,480.56738,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,274759683.9496461,145569503.896866
10,2035,1512.4885,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,864750458.5880846,458150531.5544201
12,2035,13283.657,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,7594800543.922694,4023775728.2363424
13,2035,3133.861,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,1791754275.7523866,949283305.603756
14,2035,18475.732,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,10563318477.95904,5596516229.1528225
17,2035,2684.8647,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,1535045047.0016534,813277052.6563995
18,2035,3076.2383,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,1758809062.449883,931828712.9674478
19,2035,2752.5364,258029.853823185,313710.33368110657,154454.5465747118,148457.19890594482,1573735677.4483876,833775605.4230429
