Year,Predicted_Births_GBR_Improved
2025,4903.515678593203
2026,4903.515678593203
2027,4903.515678593203
2028,4903.515678593203
2029,4903.515678593203
2030,4903.515678593203
2031,4903.515678593203
2032,4903.515678593203
2033,4903.515678593203
2034,4903.515678593203
2035,4903.515678593203
