Region,Age,Year,MortalityCoefficient
1,5,2019,2.3122991190140358e-05
1,5,2020,4.7099828085627485e-05
1,5,2021,0.0001737058911112214
1,5,2022,7.474586406218856e-05
1,5,2023,4.9357123466844355e-05
1,6,2000,0.00010038900740368929
1,6,2001,0.00010062133675445879
1,6,2002,0.0
1,6,2003,4.812898568162676e-05
1,6,2004,9.1441111923921e-05
1,6,2005,6.56254101588135e-05
1,6,2006,4.207957247154369e-05
1,6,2007,8.096838184688879e-05
1,6,2008,1.9398265795037922e-05
1,6,2009,3.7035665345727935e-05
1,6,2010,1.836884643644379e-05
1,6,2011,1.79752660339373e-05
1,6,2012,1.7835803592130844e-05
1,6,2013,5.4593099432231766e-05
1,6,2014,9.337591274954712e-05
1,6,2015,3.7675426203258925e-05
1,6,2016,0.00013271400132714
1,6,2017,3.75622124143112e-05
1,6,2018,1.8280198888563907e-05
1,6,2019,5.531075425431885e-05
1,6,2020,1.8694733693518535e-05
1,6,2021,1.841247629393677e-05
1,6,2022,3.619581938286128e-05
1,6,2023,1.764010654624354e-05
1,7,2000,8.101758081503687e-05
1,7,2001,0.00012037557178396597
1,7,2002,4.0043246706442956e-05
1,7,2003,0.00017370158068438424
1,7,2004,4.517323937299544e-05
1,7,2005,0.0
1,7,2006,0.00012428535918468804
1,7,2007,0.0
1,7,2008,0.0
1,7,2009,0.00013002773925104022
1,7,2010,4.598335402584265e-05
1,7,2011,4.708984742889433e-05
1,7,2012,9.68054211035818e-05
1,7,2013,9.66183574879227e-05
1,7,2014,0.0
1,7,2015,8.950948800572861e-05
1,7,2016,0.00027874564459930314
1,7,2017,0.00014081862561021404
1,7,2018,4.7714476572192006e-05
1,7,2019,9.21574048474795e-05
1,7,2020,8.773084177742686e-05
1,7,2021,4.2299395118649804e-05
1,7,2022,0.0
1,7,2023,3.90152549646912e-05
1,8,2000,3.7659109738645776e-05
1,8,2001,0.00010628498547438532
1,8,2002,3.563537880407669e-05
1,8,2003,3.518896474065733e-05
1,8,2004,7.140307033202428e-05
1,8,2005,0.0
1,8,2006,0.0
1,8,2007,4.047272138578598e-05
1,8,2008,8.340283569641368e-05
1,8,2009,0.0001249739637575505
1,8,2010,8.224360555966774e-05
1,8,2011,7.92927090354042e-05
1,8,2012,3.854307188282906e-05
1,8,2013,0.0
1,8,2014,0.0
1,8,2015,6.597611664577422e-05
1,8,2016,6.520817710540902e-05
1,8,2017,6.288714901109958e-05
1,8,2018,6.23091781419403e-05
1,8,2019,0.0
1,8,2020,0.00015140962359567575
1,8,2021,8.899172376968942e-05
1,8,2022,6.157825056190153e-05
1,8,2023,3.0562347188264056e-05
1,9,2000,0.00012034780515690345
1,9,2001,5.9238196789289736e-05
1,9,2002,0.0
1,9,2003,0.0
1,9,2004,6.000240009600384e-05
1,9,2005,3.0281924719135148e-05
1,9,2006,9.16898438216327e-05
1,9,2007,6.108175793299331e-05
1,9,2008,3.9596119580281134e-05
1,9,2009,3.994886545222116e-05
1,9,2010,3.970302139992854e-05
1,9,2011,4.0220407834935444e-05
1,9,2012,0.0
1,9,2013,4.5712196013896505e-05
1,9,2014,8.758868354208637e-05
1,9,2015,4.1757140471020544e-05
1,9,2016,8.450228156160216e-05
1,9,2017,0.0
1,9,2018,4.3580580493332174e-05
1,9,2019,0.0
1,9,2020,0.00014240281008211895
1,9,2021,0.0002442002442002442
1,9,2022,0.00014534179545564653
1,9,2023,0.00013963880096816235
1,10,2000,0.00013439655944807812
1,10,2001,9.28548214866057e-05
1,10,2002,9.378663540445487e-05
1,10,2003,0.00014359563469270534
1,10,2004,0.0
1,10,2005,0.0
1,10,2006,0.0
1,10,2007,0.0001251773345572895
1,10,2008,7.802746566791511e-05
1,10,2009,7.52360531166535e-05
1,10,2010,3.532695093086516e-05
1,10,2011,7.148218306587083e-05
1,10,2012,7.042749489400662e-05
1,10,2013,0.00010730765103551884
1,10,2014,0.0
1,10,2015,3.893322951138797e-05
1,10,2016,4.0436716538617066e-05
1,10,2017,4.18025248725023e-05
1,10,2018,0.0
1,10,2019,0.0
1,10,2020,7.963685593692761e-05
1,10,2021,7.73814129846011e-05
1,10,2022,7.18752246100769e-05
1,10,2023,3.4239539820584814e-05
1,11,2000,6.580462606521239e-05
1,11,2001,3.2511866831393456e-05
1,11,2002,9.397318631750407e-05
1,11,2003,3.1015445691954595e-05
1,11,2004,0.00015210513506935995
1,11,2005,0.0
1,11,2006,2.9529012254540086e-05
1,11,2007,3.060724779627816e-05
1,11,2008,6.0747805485526836e-05
1,11,2009,2.9780517585395634e-05
1,11,2010,0.0
1,11,2011,0.0001475448536355052
1,11,2012,5.850519233581981e-05
1,11,2013,3.0019212295869356e-05
1,11,2014,6.0646491600460916e-05
1,11,2015,3.0664499708687254e-05
1,11,2016,4.2475470415834855e-05
1,11,2017,0.00011632866726123542
1,11,2018,0.00019725422124033454
1,11,2019,3.973141563033891e-05
1,11,2020,8.14000814000814e-05
1,11,2021,8.91981090000892e-05
1,11,2022,4.5945325063174825e-05
1,11,2023,0.0001756928888303246
1,12,2000,0.0
1,12,2001,8.463817181548878e-05
1,12,2002,8.689607229753215e-05
1,12,2003,4.37177581533619e-05
1,12,2004,0.0
1,12,2005,0.00014281633818908883
1,12,2006,4.8730568685736566e-05
1,12,2007,0.00014570179698882954
1,12,2008,9.312721177127957e-05
1,12,2009,8.92140244446427e-05
1,12,2010,0.0001388888888888889
1,12,2011,9.389230552556218e-05
1,12,2012,4.794323520951194e-05
1,12,2013,9.320098793047206e-05
1,12,2014,4.455136772698922e-05
1,12,2015,0.0001284411525452755
1,12,2016,8.29153020189876e-05
1,12,2017,0.00019291612007099314
1,12,2018,0.0
1,12,2019,3.512592644631002e-05
1,12,2020,0.00014223739421093806
1,12,2021,0.00013974775530168045
1,12,2022,3.552271677737913e-05
1,12,2023,3.561253561253561e-05
1,13,2000,0.00019321431331633046
1,13,2001,8.086035416835126e-05
1,13,2002,0.0
1,13,2003,0.0
1,13,2004,0.00012389015073301673
1,13,2005,7.924244225207021e-05
1,13,2006,7.625438462711606e-05
1,13,2007,0.00010687947557803983
1,13,2008,0.0001017984390906006
1,13,2009,6.499203847528678e-05
1,13,2010,3.214917215881691e-05
1,13,2011,6.186970240673143e-05
1,13,2012,9.212627441346272e-05
1,13,2013,0.0
1,13,2014,3.0009302883894008e-05
1,13,2015,2.931433764254097e-05
1,13,2016,9.078254554257701e-05
1,13,2017,5.991073300781835e-05
1,13,2018,8.795074758135444e-05
1,13,2019,8.682314126125083e-05
1,13,2020,0.00011757789535567314
1,13,2021,8.724480893386844e-05
1,13,2022,5.954330286701003e-05
1,13,2023,0.00015077498341475182
1,14,2000,0.0001766394347538088
1,14,2001,4.153168867846167e-05
1,14,2002,0.0
1,14,2003,7.827175954915466e-05
1,14,2004,0.00019743336623889436
1,14,2005,8.0460232530072e-05
1,14,2006,4.3803933593236675e-05
1,14,2007,4.5203869451225027e-05
1,14,2008,0.00012953367875647668
1,14,2009,8.206811653672549e-05
1,14,2010,8.329168748958855e-05
1,14,2011,4.278257893385813e-05
1,14,2012,0.00017130620985010707
1,14,2013,4.479885314935937e-05
1,14,2014,0.0
1,14,2015,9.429958979678438e-05
1,14,2016,9.569377990430622e-05
1,14,2017,4.639294827186268e-05
1,14,2018,0.00017957351290684624
1,14,2019,0.00014092446448703494
1,14,2020,0.0001875380936752778
1,14,2021,0.00019175455417066154
1,14,2022,0.00023456558453743666
1,14,2023,0.00031569927389167005
1,15,2000,0.0003053435114503817
1,15,2001,0.00012779008348952123
1,15,2002,0.0001987834453146742
1,15,2003,0.00022842349716374158
1,15,2004,0.00021459227467811158
1,15,2005,0.0001797138954783984
1,15,2006,7.059155724975294e-05
1,15,2007,0.00018140260494140697
1,15,2008,0.00014622020763269483
1,15,2009,0.00019613996547936607
1,15,2010,0.0001638672675133142
1,15,2011,0.00021149697559324902
1,15,2012,0.0001681590784882499
1,15,2013,8.368550985396879e-05
1,15,2014,7.937137868084769e-05
1,15,2015,7.652573177731012e-05
1,15,2016,0.00010873504893077201
1,15,2017,0.00010456605088881144
1,15,2018,3.3621356285512556e-05
1,15,2019,0.00010071845833613107
1,15,2020,0.00016170240289770706
1,15,2021,0.0
1,15,2022,0.00012576638893255777
1,15,2023,0.00012447099825740602
1,16,2000,0.0001497858062969953
1,16,2001,0.0
1,16,2002,9.158907037093573e-05
1,16,2003,0.0001797483523067705
1,16,2004,5.9600083440116814e-05
1,16,2005,0.00018144429660094352
1,16,2006,0.00030037246185269734
1,16,2007,0.0001233616037008481
1,16,2008,9.041591320072333e-05
1,16,2009,0.0002610511660285416
1,16,2010,0.000164446637066272
1,16,2011,7.652280379553107e-05
1,16,2012,7.950073538180228e-05
1,16,2013,4.0043246706442956e-05
1,16,2014,0.00012181257105733311
1,16,2015,0.00035312293092032665
1,16,2016,4.556016219417741e-05
1,16,2017,0.0
1,16,2018,4.135478268061701e-05
1,16,2019,0.0001682935038707506
1,16,2020,0.0002166096261317853
1,16,2021,4.3237634036665516e-05
1,16,2022,9.002520705797624e-05
1,16,2023,0.00036744442403086535
1,17,2000,9.454923651491515e-05
1,17,2001,0.0002397391637897967
1,17,2002,0.00018551154809386884
1,17,2003,0.0003153011125624972
1,17,2004,4.726344645051517e-05
1,17,2005,0.00023618327822390176
1,17,2006,0.00038522656137140657
1,17,2007,0.00018862586060548902
1,17,2008,0.00022536734877850898
1,17,2009,0.00013071325868153894
