Year,Predicted_Births_RF_Improved
2025,4972.836357328061
2026,4972.836357328061
2027,4972.836357328061
2028,4972.836357328061
2029,4972.836357328061
2030,4972.836357328061
2031,4972.836357328061
2032,4972.836357328061
2033,4972.836357328061
2034,4972.836357328061
2035,4972.836357328061
