Year,Predicted_Births_LR
2025,5626.274458247048
2026,5661.955576259468
2027,5697.636694271889
2028,5733.317812284309
2029,5768.99893029673
2030,5804.680048309165
2031,5840.361166321585
2032,5876.042284334006
2033,5911.723402346426
2034,5947.404520358847
2035,5983.085638371267
