Region,Year,Number,MortalityCoefficient,MigrationCoefficient,NetMigration
1,2000,21837,0.0032346354814630504,0.002835538752362949,3
1,2000,21837,0.0032346354814630504,-0.03969754253308128,-42
1,2000,21837,0.0032346354814630504,-0.11247637051039698,-119
1,2000,21837,0.0032346354814630504,-0.06332703213610585,-67
1,2000,21837,0.0032346354814630504,-0.002835538752362949,-3
1,2000,21837,0.0032346354814630504,0.03969754253308128,42
1,2000,21837,0.0032346354814630504,-0.052930056710775046,-56
1,2000,21837,0.0032346354814630504,-0.02930056710775047,-31
1,2000,21837,0.0032346354814630504,-0.010396975425330813,-11
1,2000,21837,0.0032346354814630504,-0.046313799621928164,-49
1,2000,21837,0.0032346354814630504,0.02551984877126654,27
1,2000,21837,0.0032346354814630504,0.06049149338374291,64
1,2000,21837,0.0032346354814630504,0.10207939508506617,108
1,2000,21837,0.0032346354814630504,0.08601134215500945,91
1,2000,21837,0.0032346354814630504,0.1001890359168242,106
1,2000,21837,0.0032346354814630504,0.11153119092627599,118
1,2000,21837,0.0032346354814630504,0.21644612476370512,229
1,2000,21837,0.0032346354814630504,0.16446124763705103,174
1,2000,21837,0.0032346354814630504,0.18052930056710775,191
1,2000,21837,0.0032346354814630504,0.45085066162570886,477
1,2000,21837,0.00046974085962577314,0.002835538752362949,3
1,2000,21837,0.00046974085962577314,-0.03969754253308128,-42
1,2000,21837,0.00046974085962577314,-0.11247637051039698,-119
1,2000,21837,0.00046974085962577314,-0.06332703213610585,-67
1,2000,21837,0.00046974085962577314,-0.002835538752362949,-3
1,2000,21837,0.00046974085962577314,0.03969754253308128,42
1,2000,21837,0.00046974085962577314,-0.052930056710775046,-56
1,2000,21837,0.00046974085962577314,-0.02930056710775047,-31
1,2000,21837,0.00046974085962577314,-0.010396975425330813,-11
1,2000,21837,0.00046974085962577314,-0.046313799621928164,-49
1,2000,21837,0.00046974085962577314,0.02551984877126654,27
1,2000,21837,0.00046974085962577314,0.06049149338374291,64
1,2000,21837,0.00046974085962577314,0.10207939508506617,108
1,2000,21837,0.00046974085962577314,0.08601134215500945,91
1,2000,21837,0.00046974085962577314,0.1001890359168242,106
1,2000,21837,0.00046974085962577314,0.11153119092627599,118
1,2000,21837,0.00046974085962577314,0.21644612476370512,229
1,2000,21837,0.00046974085962577314,0.16446124763705103,174
1,2000,21837,0.00046974085962577314,0.18052930056710775,191
1,2000,21837,0.00046974085962577314,0.45085066162570886,477
1,2000,21837,6.78955766031843e-05,0.002835538752362949,3
1,2000,21837,6.78955766031843e-05,-0.03969754253308128,-42
1,2000,21837,6.78955766031843e-05,-0.11247637051039698,-119
1,2000,21837,6.78955766031843e-05,-0.06332703213610585,-67
1,2000,21837,6.78955766031843e-05,-0.002835538752362949,-3
1,2000,21837,6.78955766031843e-05,0.03969754253308128,42
1,2000,21837,6.78955766031843e-05,-0.052930056710775046,-56
1,2000,21837,6.78955766031843e-05,-0.02930056710775047,-31
1,2000,21837,6.78955766031843e-05,-0.010396975425330813,-11
1,2000,21837,6.78955766031843e-05,-0.046313799621928164,-49
1,2000,21837,6.78955766031843e-05,0.02551984877126654,27
1,2000,21837,6.78955766031843e-05,0.06049149338374291,64
1,2000,21837,6.78955766031843e-05,0.10207939508506617,108
1,2000,21837,6.78955766031843e-05,0.08601134215500945,91
1,2000,21837,6.78955766031843e-05,0.1001890359168242,106
1,2000,21837,6.78955766031843e-05,0.11153119092627599,118
1,2000,21837,6.78955766031843e-05,0.21644612476370512,229
1,2000,21837,6.78955766031843e-05,0.16446124763705103,174
1,2000,21837,6.78955766031843e-05,0.18052930056710775,191
1,2000,21837,6.78955766031843e-05,0.45085066162570886,477
1,2000,21837,0.0013029315960912053,0.002835538752362949,3
1,2000,21837,0.0013029315960912053,-0.03969754253308128,-42
1,2000,21837,0.0013029315960912053,-0.11247637051039698,-119
1,2000,21837,0.0013029315960912053,-0.06332703213610585,-67
1,2000,21837,0.0013029315960912053,-0.002835538752362949,-3
1,2000,21837,0.0013029315960912053,0.03969754253308128,42
1,2000,21837,0.0013029315960912053,-0.052930056710775046,-56
1,2000,21837,0.0013029315960912053,-0.02930056710775047,-31
1,2000,21837,0.0013029315960912053,-0.010396975425330813,-11
1,2000,21837,0.0013029315960912053,-0.046313799621928164,-49
1,2000,21837,0.0013029315960912053,0.02551984877126654,27
1,2000,21837,0.0013029315960912053,0.06049149338374291,64
1,2000,21837,0.0013029315960912053,0.10207939508506617,108
1,2000,21837,0.0013029315960912053,0.08601134215500945,91
1,2000,21837,0.0013029315960912053,0.1001890359168242,106
1,2000,21837,0.0013029315960912053,0.11153119092627599,118
1,2000,21837,0.0013029315960912053,0.21644612476370512,229
1,2000,21837,0.0013029315960912053,0.16446124763705103,174
1,2000,21837,0.0013029315960912053,0.18052930056710775,191
1,2000,21837,0.0013029315960912053,0.45085066162570886,477
1,2000,21837,0.0004915212582944212,0.002835538752362949,3
1,2000,21837,0.0004915212582944212,-0.03969754253308128,-42
1,2000,21837,0.0004915212582944212,-0.11247637051039698,-119
1,2000,21837,0.0004915212582944212,-0.06332703213610585,-67
1,2000,21837,0.0004915212582944212,-0.002835538752362949,-3
1,2000,21837,0.0004915212582944212,0.03969754253308128,42
1,2000,21837,0.0004915212582944212,-0.052930056710775046,-56
1,2000,21837,0.0004915212582944212,-0.02930056710775047,-31
1,2000,21837,0.0004915212582944212,-0.010396975425330813,-11
1,2000,21837,0.0004915212582944212,-0.046313799621928164,-49
1,2000,21837,0.0004915212582944212,0.02551984877126654,27
