Year,Predicted_Births
2025,1585.9885366675912
2026,1623.6410772457903
2027,1571.1992644203865
2028,1545.4330354957988
2029,1932.4018579054848
2030,1837.7077520904998
2031,1847.5983839698522
2032,1824.4403356442058
2033,2170.3438498175187
2034,2108.3968953084423
2035,2052.1927165769066
