Year,Predicted_Births_GBR
2025,4749.581958023411
2026,4749.581958023411
2027,4749.581958023411
2028,4749.581958023411
2029,4749.581958023411
2030,4749.581958023411
2031,4749.581958023411
2032,4749.581958023411
2033,4749.581958023411
2034,4749.581958023411
2035,4749.581958023411
