Region,Year,Predicted_Births_ARIMA,Predicted_Births_SARIMA
1,2025,25527.43451801308,25862.184815221644
1,2026,25369.61103927556,26267.77938526367
1,2027,25271.379015556748,26285.24065220884
1,2028,25210.23772934836,26279.79094662708
1,2029,25172.18235048417,26836.64143485877
1,2030,25148.496033916323,26202.39013342891
1,2031,25133.753266683485,26233.367962871664
1,2032,25124.57711702513,25988.23481775757
1,2033,25118.86572504406,26003.066587919937
1,2034,25115.310857308028,26449.665719591743
1,2035,25113.098247026235,24595.938745405605
3,2025,3755.281175479591,3815.226934211184
3,2026,3718.0226266580376,3840.1638956172665
3,2027,3695.1598741055495,3907.276430467654
3,2028,3681.130732584774,4038.935472761535
3,2029,3672.522109832194,4129.098000069048
3,2030,3667.239649349028,3991.0691748946674
3,2031,3663.998203004101,4024.045830415741
3,2032,3662.009172619392,4045.888525277819
3,2033,3660.788655155795,3960.0646000389697
3,2034,3660.039715928724,3985.003672481418
3,2035,3659.580148587349,4017.0350407539536
4,2025,2369.489885403526,2444.5736405464745
4,2026,2278.317338633987,2489.332335987197
4,2027,2225.206181531614,2614.881419147387
4,2028,2194.267098345935,2662.9769659289595
4,2029,2176.244013920844,2597.096996200982
4,2030,2165.744944822884,2548.761138315349
4,2031,2159.628874491977,2443.657568654587
4,2032,2156.0660523080683,2453.6599126017645
4,2033,2153.9905853452365,2350.561174881195
4,2034,2152.7815541639275,2321.217779925357
4,2035,2152.0772517473843,2340.0799744930696
5,2025,4189.188619320445,4315.404544074658
5,2026,4116.711891692873,4265.056181148086
5,2027,4066.594471107975,4372.562370420206
5,2028,4031.938438360602,4412.776838032205
5,2029,4007.973904835728,4495.472350343077
5,2030,3991.402508125343,4330.876685233979
5,2031,3979.943441390415,4334.324223015738
5,2032,3972.01953414648,4275.442852957159
5,2033,3966.540178151536,4137.972746117105
5,2034,3962.751221366069,4221.162521326964
5,2035,3960.131170116362,4180.364356891167
6,2025,3506.397186702326,3585.8859832830626
6,2026,3456.013190245836,3588.339303023869
6,2027,3421.9856919958893,3667.961534924129
6,2028,3399.004771096731,3748.729243778216
6,2029,3383.4843022837117,3789.784394955064
6,2030,3373.002348438914,3645.1414826521273
6,2031,3365.923222303736,3614.4761276141166
6,2032,3361.1422408588846,3578.718850510496
6,2033,3357.913341819719,3477.549542531159
6,2034,3355.732662156895,3470.722508360054
6,2035,3354.25991131081,3450.390792904815
7,2025,1972.9424103873685,1940.302966307308
7,2026,1982.2816653052928,2003.3285611358149
7,2027,1991.0543551283547,2077.4187696121803
7,2028,1999.294850479215,2078.704199571357
7,2029,2007.0354368896724,2186.5524686489334
7,2030,2014.3064412925207,2112.852438185552
7,2031,2021.1363508397887,2176.968467036085
7,2032,2027.551924512884,2162.816702955413
7,2033,2033.5782979619096,2192.9555151459367
7,2034,2039.239081984924,2175.592493153385
7,2035,2044.5564550329527,2132.851775702737
8,2025,2060.131199871997,2134.26445295853
8,2026,2027.288447604231,2135.1310694802182
8,2027,2004.7550568854847,2226.532034986596
8,2028,1989.2949123414476,2237.9541844305645
8,2029,1978.687717343329,2219.896674022425
8,2030,1971.4101278351832,2169.5783979695084
8,2031,1966.4169784626608,2104.421826096376
8,2032,1962.9911819639144,2021.4113381782404
8,2033,1960.6407452404692,1939.0129330674613
8,2034,1959.0281121512185,1931.7863493627813
8,2035,1957.921685649876,1940.9046748140927
9,2025,453.4131401974639,479.2842124539302
9,2026,453.71028292005496,478.1701709977649
9,2027,453.5598316585999,514.343440051481
9,2028,453.6360091327646,477.9948622390152
9,2029,453.5974384520405,467.0397637317806
9,2030,453.6169678132832,461.942890884719
9,2031,453.6070795784015,450.6546801927358
9,2032,453.6120862546497,429.9627895828339
9,2033,453.609551241338,427.0854842570761
9,2034,453.6108347859836,419.4012089852406
9,2035,453.61018489320014,417.0427555495844
10,2025,1279.5681683617483,1222.355581245869
10,2026,1265.2724739882308,1184.0162487083762
10,2027,1255.7368038191787,1242.1911815038582
10,2028,1249.3762169741358,1233.0045445045712
10,2029,1245.1335088795715,1234.612791391976
10,2030,1242.303491396246,1195.7754107071548
10,2031,1240.4157822309162,1190.2308290879428
10,2032,1239.1566218498,1144.0991050501868
10,2033,1238.3167229424405,1071.6090899609842
10,2034,1237.7564844016133,1084.9686734462516
10,2035,1237.3827879723435,1033.3767899097008
12,2025,13601.37446890042,13844.393160575935
