Year,Predicted_Births_MLP
2025,5325.872004268109
2026,5328.502046688213
2027,5331.132089108317
2028,5333.762131528422
2029,5336.392173948525
2030,5339.0222163686285
2031,5341.652258788733
2032,5344.2823012088365
2033,5346.912343628941
2034,5349.542386049045
2035,5352.172428469149
